zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
36904,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36318,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35206,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36587,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35207,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36005,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35449,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35053,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35242,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36104,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35181,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36776,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35574,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36111,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36874,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35096,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35180,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35014,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
