ID,Plate Type,Primary Customer City,Primary Customer State,Registration Start Date,Registration Expiration Date,Registration Usage,Vehicle Type,Vehicle Weight,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Body,Primary Color,Vehicle Declared Gross Weight,Fuel Code,Vehicle Recorded GVWR,Vehicle Name,Type,Vehicle Category
55677,Passenger,MADISON,CT,09/27/2021,09/26/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Gray,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
55681,Passenger,ENFIELD,CT,09/27/2021,09/26/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Red,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
55684,Passenger,OXFORD,CT,09/27/2021,09/26/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
55709,Passenger,WILTON,CT,09/27/2021,09/26/2024,Regular,Passenger,0,2021,Tesla,Model S,4D,Gray,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
55730,Passenger,NEW MILFORD,CT,09/24/2021,09/23/2024,Regular,Passenger,0,2018,Toyota,Prius Prime,4D,White,0,H04,0,Toyota Prius Prime,PHEV,Light-Duty (Class 1-2)
55807,Passenger,BRIDGEPORT,CT,09/28/2021,09/27/2024,Regular,SUV,0,2022,KIA,Niro Ex,SU,Gray,0,E00,0,Kia Niro EV,BEV,Light-Duty (Class 1-2)
55857,Passenger,WOODBURY,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2021,Jeep,Wrangler Unlimited Sahara 4xe,EP,White,0,H04,0,Jeep Wrangler Plug In,PHEV,Light-Duty (Class 1-2)
55860,Passenger,WALLINGFORD,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2017,Chevrolet,Bolt Ev Premier,4H,Black,0,E00,0,Chevrolet Bolt EV,BEV,Light-Duty (Class 1-2)
55931,Passenger,AVON,CT,09/27/2021,09/26/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Black,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
55943,Passenger,BROOKFIELD,CT,09/02/2021,09/01/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
56048,Passenger,NEW HAVEN,CT,09/28/2021,09/27/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Se,SU,Gray,3349155,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
56146,Passenger,NEW CANAAN,CT,09/21/2021,09/20/2024,Regular,Van,0,2021,Jeep,Wrangler Unlimited Sahara 4xe,SU,Gray,0,G04,0,Jeep Wrangler Plug In,PHEV,Light-Duty (Class 1-2)
56183,Passenger,WILLINGTON,CT,09/24/2021,09/23/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Black,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
56213,Passenger,WESTPORT,CT,09/24/2021,09/23/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Gray,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
56283,Passenger,NEWTOWN,CT,09/29/2021,09/28/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Blue,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
56349,Passenger,WESTPORT,CT,09/27/2021,09/26/2024,Regular,SUV,0,2021,Volkswagen,Id.4 Pro S,EP,White,0,E00,0,Volkswagen Id.4,BEV,Light-Duty (Class 1-2)
56359,Passenger,GREENWICH,CT,09/21/2021,09/20/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Gray,5109869,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
